Pattern Name,OM,Burst Length,FSN,Start Address,Data,R/W
DC_TXON3_IDD,0,0,0,0x42,0x0,r/w
,0,0,0,0x842,0x1,r/w
,0,0,0,0x1042,0x2,r/w
,0,0,0,0x1842,0x3,r/w
,0,0,0,0x2042,0x4,r/w
,0,0,0,0x2842,0x5,r/w
,0,0,0,0x3042,0x6,r/w
,0,0,0,0x3842,0x7,r/w
,0,0,0,0x4042,0x8,r/w
,0,0,0,0x4842,0x9,r/w
,0,0,0,0x5042,0xA,r/w
,0,0,0,0x5842,0xB,r/w
,0,0,0,0x6042,0xC,r/w
,0,0,0,0x6842,0xD,r/w
,0,0,0,0x7042,0xE,r/w
,0,0,0,0x7842,0xF,r/w
,0,0,0,0x8042,0x10,r/w
,0,0,0,0x8842,0x11,r/w
DC_TXON3_IDD,0,0,0,0x54,0x7,r/w
,0,0,0,0x854,0x7,r/w
,0,0,0,0x1054,0x7,r/w
,0,0,0,0x1854,0x7,r/w
,0,0,0,0x2054,0x7,r/w
,0,0,0,0x2854,0x7,r/w
,0,0,0,0x3054,0x7,r/w
,0,0,0,0x3854,0x7,r/w
,0,0,0,0x4054,0x7,r/w
,0,0,0,0x4854,0x7,r/w
,0,0,0,0x5054,0x7,r/w
,0,0,0,0x5854,0x7,r/w
,0,0,0,0x6054,0x7,r/w
,0,0,0,0x6854,0x7,r/w
,0,0,0,0x7054,0x7,r/w
,0,0,0,0x7854,0x7,r/w
,0,0,0,0x8054,0x7,r/w
,0,0,0,0x8854,0x7,r/w
