Pattern Name,MODE,Address,Data,R/W,OpCode
Fornax_ART_V201_B11_CH_ALL_OFF,SPI_3W,0x100,0x0,W,
,,0x101,0x0,W,
,,0x102,0x0,W,
,,0x103,0x0,W,
,,0x104,0x0,W,
,,0x105,0x0,W,
,,0x106,0x0,W,
,,0x107,0xFF,W,
,,0x108,0xFF,W,
,,0x109,0xCA,W,
,,0x10A,0xCB,W,
,,0x10B,0xA0,W,
,,0x10C,0x0,W,
,,0x10D,0x0,W,
,,0x10E,0x0,W,
,,0x10F,0x0,W,
,,0x110,0x0,W,
,,0x111,0x0,W,
,,0x112,0x0,W,
,,0x113,0x0,W,
,,0x114,0x0,W,
,,0x115,0x0,W,
,,0x116,0x0,W,
,,0x117,0xFF,W,
,,0x118,0xFF,W,
,,0x119,0xCA,W,
,,0x11A,0xCB,W,
,,0x11B,0xA0,W,
,,0x11C,0x0,W,
,,0x11D,0x0,W,
,,0x11E,0x0,W,
,,0x11F,0x0,W,
,,0x120,0x0,W,
,,0x121,0x0,W,
,,0x122,0x0,W,
,,0x123,0x0,W,
,,0x124,0x0,W,
,,0x125,0x0,W,
,,0x126,0x0,W,
,,0x127,0xFF,W,
,,0x128,0xFF,W,
,,0x129,0xCA,W,
,,0x12A,0xCB,W,
,,0x12B,0xA0,W,
,,0x12C,0x0,W,
,,0x12D,0x0,W,
,,0x12E,0x0,W,
,,0x12F,0x0,W,
,,0x130,0xFF,W,
,,0x131,0xFF,W,
,,0x132,0xCA,W,
,,0x133,0xCB,W,
,,0x134,0xA0,W,
,,0x135,0x0,W,
,,0x136,0x0,W,
,,0x137,0x0,W,
,,0x138,0x0,W,
,,0x139,0x0,W,
,,0x13A,0x0,W,
,,0x13B,0x0,W,
,,0x13C,0x0,W,
,,0x13D,0x70,W,
,,0x13E,0xFF,W,
,,0x13F,0xFF,W,
,,0x140,0xC0,W,
,,0x141,0x40,W,
,,0x142,0x0,W,
,,0x143,0x0,W,
,,0x144,0x0,W,
,,0x145,0x0,W,
,,0x146,0x0,W,
,,0x147,0x0,W,
,,0x148,0x0,W,
,,0x149,0x0,W,
,,0x14A,0x0,W,
,,0x14B,0xF0,W,
,,0x14C,0xF0,W,
,,0x14D,0xCC,W,
,,0x14E,0xCC,W,
,,0x14F,0xC0,W,
,,0x150,0xA,W,
,,0x151,0x0,W,
,,0x152,0x0,W,
,,0x153,0x0,W,
,,0x154,0xFF,W,
,,0x155,0xFF,W,
,,0x156,0xCA,W,
,,0x157,0xCB,W,
,,0x158,0xA0,W,
,,0x159,0x0,W,
,,0x15A,0x0,W,
,,0x15B,0x0,W,
,,0x15C,0x0,W,
,,0x15D,0xFF,W,
,,0x15E,0xFF,W,
,,0x15F,0xCA,W,
,,0x160,0xCB,W,
,,0x161,0xA0,W,
,,0x162,0x0,W,
,,0x163,0x0,W,
,,0x164,0x0,W,
,,0x165,0x0,W,
,,0x166,0x0,W,
,,0x167,0xFF,W,
,,0x168,0xFF,W,
,,0x169,0xCA,W,
,,0x16A,0xCB,W,
,,0x16B,0xA0,W,
,,0x16C,0x0,W,
,,0x16D,0x0,W,
,,0x16E,0x0,W,
,,0x16F,0x0,W,
,,0x170,0x0,W,
,,0x171,0x0,W,
,,0x172,0x0,W,
,,0x173,0x0,W,
,,0x174,0x0,W,
,,0x175,0x0,W,
,,0x176,0x0,W,
,,0x177,0xFF,W,
,,0x178,0xFF,W,
,,0x179,0xCA,W,
,,0x17A,0xCB,W,
,,0x17B,0xA0,W,
,,0x17C,0x0,W,
,,0x17D,0x0,W,
,,0x17E,0x0,W,
,,0x17F,0x0,W,
,,0x400,0xFF,W,
,,0x401,0xFF,W,
,,0x402,0xFF,W,
,,0x403,0xFF,W,
,,0x404,0xFF,W,
,,0x405,0xFF,W,
,,0x406,0xFF,W,
,,0x407,0xFF,W,
,,0x408,0xFF,W,
,,0x409,0xFF,W,
,,0x40A,0xFF,W,
,,0x40B,0xFF,W,
,,0x40C,0xFF,W,
,,0x40D,0xFF,W,
,,0x40E,0xFF,W,
,,0x40F,0xFF,W,
,,0x410,0xFF,W,
,,0x411,0xFF,W,
,,0x300,0x0,W,
,,0x301,0x0,W,
,,0x302,0x0,W,
,,0x303,0x0,W,
,,0x304,0x0,W,
,,0x305,0x0,W,
,,0x306,0x0,W,
,,0x307,0x0,W,
,,0x308,0x0,W,
,,0x309,0x0,W,
,,0x30A,0x0,W,
,,0x30B,0x0,W,
,,0x30C,0x0,W,
,,0x30D,0x0,W,
,,0x30E,0x0,W,
,,0x30F,0x0,W,
,,0x310,0x0,W,
,,0x311,0x0,W,
,,0x312,0x0,W,
,,0x313,0x0,W,
,,0x314,0x0,W,
,,0x315,0x0,W,
,,0x316,0x0,W,
,,0x317,0x0,W,
,,0x318,0x0,W,
,,0x319,0x0,W,
,,0x31A,0x0,W,
,,0x31B,0x0,W,
,,0x31C,0x0,W,
,,0x31D,0x0,W,
,,0x31E,0x0,W,
,,0x31F,0x0,W,
,,0x320,0x0,W,
,,0x321,0x0,W,
,,0x322,0x0,W,
,,0x323,0x0,W,
,,0x324,0x0,W,
,,0x325,0x0,W,
,,0x326,0x0,W,
,,0x327,0x0,W,
,,0x328,0x0,W,
,,0x329,0x0,W,
,,0x32A,0x0,W,
,,0x32B,0x0,W,
,,0x32C,0x0,W,
,,0x32D,0x0,W,
,,0x32E,0x0,W,
,,0x32F,0x0,W,
,,0x0,0xFF,W,
,,0x1,0xFF,W,
,,0x600,0x0,W,
,,0x601,0x0,W,
,,0x602,0x0,W,
,,0x603,0x0,W,
,,0x604,0x0,W,
,,0x605,0x0,W,
,,0x606,0x0,W,
,,0x607,0x0,W,
,,0x608,0x0,W,
,,0x609,0x0,W,
,,0x60A,0x0,W,
,,0x60B,0x0,W,
,,0x60C,0x0,W,
,,0x60D,0x0,W,
,,0x60E,0x0,W,
,,0x60F,0x0,W,
